id,retweet_id,twitter_id,user_id,text,language,screen_name,location,in_reply_to_status_id,in_reply_to_user_id,retweet_user_id,truncated,in_reply_to_screen_name,created_at,retweet_count,lat,lon,profile_image_url,source,retweeted,coordinates,favorited,geo,place,in_reply_to_calc,id,user_id,verified,profile_image_url,geo_enabled,followers_count,protected,location,listed_count,utc_offset,statuses_count,description,friends_count,screen_name,lang,favourites_count,name,url,created_at,time_zone,grabbed,id,user_id,name,screen_name,indices,text,url,expanded_url,display_url,type,entity_id
18335,0,2.63063E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards - http://t.co/LwcOpL9L #Prop37 #Monsanto,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/29/12 23:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
18477,0,2.62307E+17,64250735,Video: Kids Have Their Say about Proposition 37 and GMO Labeling -  http://t.co/560dVgYe #Kids #Children #GMO #Prop37 #Health,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/27/12 21:35,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
20111,0,2.65854E+17,64250735,Hundreds of Chefs Endorse GMO Labeling Proposition 37 - Organic Connections http://t.co/DZ8oSndH,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/6/12 16:30,0,NULL,NULL,NULL,bitly,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
20313,0,2.65535E+17,64250735,Listen to what parents like Minnie Driver and Molly Ringwald have to say about the Yes on Proposition 37 Campaign. http://t.co/MPTcKtvj,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/5/12 19:26,0,NULL,NULL,NULL,Facebook,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
21487,0,2.62685E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards - http://t.co/LwcOpL9L #Prop37 #Monsanto,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/28/12 22:41,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
21562,0,2.62323E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards - http://t.co/LwcOpL9L #Prop37 #Monsanto,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/27/12 22:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
23534,0,2.65177E+17,64250735,Proposition 37 and the Faulty Logic of Newspaper Editorial Boards -  http://t.co/vsu6lf8u #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,11/4/12 19:40,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
24042,0,2.63644E+17,64250735,The new ad from the Yes on GMO Labeling Proposition 37 Campaign stays with the same line the campaign has run... http://t.co/sT76B95m,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/31/12 14:08,0,NULL,NULL,NULL,Facebook,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
24462,0,2.62926E+17,64250735,Video: Kids Have Their Say about Proposition 37 and GMO Labeling -  http://t.co/560dVgYe #Kids #Children #GMO #Prop37 #Health,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,10/29/12 14:35,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
24962,0,2.4922E+17,64250735,Whole Foods Market Backs Californiaâ€™s GMO Labeling Proposition 37  http://t.co/iWOOy0x4 #prop37 #GMO #Label,NULL,organicconnect,NULL,NULL,NULL,NULL,0,,9/21/12 18:52,0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,,1640,64250735,0,http://a0.twimg.com/profile_images/372756695/butterfly_normal.png,0,58271,0,"Austin, TX",1796,-21600,33186,Organic Connections magazine is an award-winning publication brought to you by Natural Vitalityâ€”a purpose-driven human nutrition company. ,54615,organicconnect,en,5,Organic Connections,http://organicconnectmag.com,8/9/09 20:48,Central Time (US & Canada),1,3,64250735,Organic Connections,organicconnect,"[79, 94]",NULL,NULL,NULL,NULL,mention,4
